Country,WhenToVisit,CountryCode,CountryDescription,WikiURL,Flag,lonelyPlanetURL,Currency,Capital,CallingCode,Region,Timezones,Languages,PlugSocketVoltage
Andorra,"Peak periods include summer (Jul–Aug) and ski season (Dec–Mar). Our Lady of Meritxell Day (Andora la Vella, Sep) celebrates Andorra’s patron saint with religious processions, dancing and traditional songs.",ad,"Andorra, officially the Principality of Andorra (Catalan: Principat d'Andorra), also called the Principality of the Valleys of Andorra (Catalan: Principat de les Valls d'Andorra), is a sovereign landlocked microstate on the Iberian Peninsula, in the eastern Pyrenees, bordered by France to the north and Spain to the south. Believed to have been created by Charlemagne, Andorra was ruled by the Count of Urgell until 988, when it was transferred to the Roman Catholic Diocese of Urgell, and
the present principality was formed by a charter in 1278. It is known as a principality as it is a diarchy headed by two Princes: the Catholic Bishop of Urgell in Catalonia, Spain, and the President of France.",https://en.wikipedia.org/wiki/Andorra,http://cdn.countryflags.com/thumbs/andorra/flag-square-250.png,https://www.lonelyplanet.com/andorra,Euro,Andorra la Vella,376,Europe (Southern Europe),UTC+01:00,Catalan,230 V @ 50 Hz plug C / F
Malta,"Peak travel season is summer (Jun–Aug), with hot days and the biggest crowds at attractions and beaches. Key annual events include the Malta International Fireworks Festival (Apr) in Valletta’s Grand Harbour; Għanafest (Floriana, Jun), celebrating traditional Maltese and international folk music; and the Malta Arts and Jazz festivals (Valletta, Jul). The typically Mediterranean weather is relatively mild year-round.",mt,"Malta, officially known as the Republic of Malta (Maltese: Repubblika ta' Malta), is a Southern European island country consisting of an archipelago in the Mediterranean Sea. It lies 80 km (50 mi) south of Italy, 284 km (176 mi) east of Tunisia, and 333 km (207 mi) north of Libya. With a population of about 475,000 over an area of 316 km2 (122 sq mi), Malta is the world's tenth smallest and fifth most densely populated sovereign country. Its capital is Valletta, which is the smallest
national capital in the European Union by area at 0.8 km². The official languages are Maltese and English, with Maltese officially recognised as the national language and the only Semitic language in the European Union.",https://en.wikipedia.org/wiki/Malta,http://cdn.countryflags.com/thumbs/malta/flag-square-250.png,https://www.lonelyplanet.com/malta,Euro,Valletta,356,Europe (Southern Europe),UTC+01:00,"Maltese, English",230 V @ 50 Hz plug G
Luxembourg,"The peak travel season is Apr–Aug. Luxembourg has a humid temperate climate with cool summers, mild winters and rain throughout the year. Popular events include pre-Lenten carnivals nationwide (Feb/Mar), such as the Pétange parade; the dancing procession in Echternach (May), a longstanding Catholic tradition; National Day (Jun 23), celebrated throughout the country; Luxembourg City's Summer in the City festival (Jun–Sep), with concerts and folklore shows; and the Grevenmacher Wine Festival in the Moselle valley (Sep).",lu,"Luxembourg, officially the Grand Duchy of Luxembourg, is a landlocked microstate in western Europe. It is bordered by Belgium to the west and north, Germany to the east, and France to the south. Its capital, Luxembourg City, is one of the four official capitals of the European Union (together with Brussels, Frankfurt, and Strasbourg) and the seat of the European Court of Justice, the highest judicial authority in the EU. Its culture, people, and languages are highly intertwined with
its neighbours, making it essentially a mixture of French and German cultures, as evident by the nation's three official languages: French, German, and the national language of Luxembourgish. The repeated invasions by Germany, especially in World War II, resulted in the country's strong will for mediation between France and Germany and, among other things, led to the foundation of the European Union.With an area of 2,586 square kilometres (998 sq mi), it is one of the smallest sovereign states
in Europe. In 2019, Luxembourg had a population of 613,894, which makes it one of the least-populous countries in Europe, but by far the one with the highest population growth rate. Foreigners account for nearly half of Luxembourg's population. As a representative democracy with a constitutional monarch, it is headed by Grand Duke Henri and is the world's only remaining sovereign grand duchy. Luxembourg is a developed country, with an advanced economy and one of the world's highest GDP (PPP) per
capita. The City of Luxembourg with its old quarters and fortifications was declared a UNESCO World Heritage Site in 1994 due to the exceptional preservation of the vast fortifications and the old city.The history of Luxembourg is considered to begin in 963, when count Siegfried acquired a rocky promontory and its Roman-era fortifications known as Lucilinburhuc, ""little castle"", and the surrounding area from the Imperial Abbey of St. Maximin in nearby Trier. Siegfried's descendants increased
their territory through marriage, war and vassal relations. At the end of the 13th century, the counts of Luxembourg reigned over a considerable territory. In 1308, Henry VII, Count of Luxembourg became King of the Germans and later Holy Roman Emperor. The House of Luxembourg produced four emperors during the High Middle Ages. In 1354, Charles IV elevated the county to the Duchy of Luxembourg. The duchy eventually became part of the Burgundian Circle and then one of the Seventeen Provinces of
the Habsburg Netherlands.",https://en.wikipedia.org/wiki/Luxembourg,http://cdn.countryflags.com/thumbs/luxembourg/flag-square-250.png,https://www.lonelyplanet.com/luxembourg,Euro,Luxembourg,352,Europe (Western Europe),UTC+01:00,"French, German, Luxembourgish",230 V @ 50 Hz plug C / F
Montenegro,"Summer (Jun–Sep) is beach season at Budva and elsewhere along the Adriatic coast. Summer is also peak travel to Kotor. Winters (Nov–Feb) by the coast are mild and rainy. It's cooler in the mountainous north, with snow likely Nov–Mar. There's winter skiing, including within Durmitor National Park.",me,"Montenegro is a country in Southeast Europe on the Adriatic Sea. It borders Bosnia and Herzegovina to the northwest; Serbia and Kosovo to the east, Albania to the south and Croatia to the west. Montenegro has an area of 13,812 square kilometres and a population of 620,079 (2011 census). Its capital Podgorica is one of the twenty-three municipalities in the country. Cetinje is designated as the Old Royal Capital.",https://en.wikipedia.org/wiki/Montenegro,http://cdn.countryflags.com/thumbs/montenegro/flag-square-250.png,https://www.lonelyplanet.com/montenegro,Euro,Podgorica,382,Europe (Southern Europe),UTC+01:00,"Serbian, Bosnian, Albanian, Croatian",230 V @ 50 Hz plug C / F
SanMarino,"Peak travel is Apr–Sep, when the weather is warm. Winters (Dec–Feb) are cool. The anniversary of the republic's foundation (Sep 3) coincides with the feast day of St. Marinus (San Marino in Italian). The occasion is marked with a procession of the holy relics, concerts and a crossbow competition.",sm,"San Marino, officially the Republic of San Marino (Italian: Repubblica di San Marino), also known as the Most Serene Republic of San Marino (Italian: Serenissima Repubblica di San Marino), is an enclaved microstate in Southern Europe, on the northeastern side of the Apennine Mountains, completely surrounded by Italy.It is just over 61 km2 (24 sq mi), with a population of 33,562. Its capital is the City of San Marino and its largest settlement is Dogana in the municipality of
Serravalle. San Marino has the smallest population of any member of the Council of Europe. The official language is Italian, and San Marino maintains strong financial and ethno-cultural connections to its much larger neighbour. It is located close to the riviera of Rimini, one of Italy's main coastal resort areas.",https://en.wikipedia.org/wiki/San_Marino,http://cdn.countryflags.com/thumbs/san-marino/flag-square-250.png,https://www.lonelyplanet.com/italy/emilia-romagna-and-san-marino/san-marino,Euro,City of San Marino,378,Europe (Southern Europe),UTC+01:00,Italian,230 V @ 50 Hz plug C / F / L
Liechtenstein,"The country has an alpine climate, with a cold, snowy ski season (Dec–Feb). In Vaduz and low-lying valleys, temperatures are generally warm May–Sep. Peak warm-weather sightseeing is Jun–Aug. The Vaduz Operetta (Jan-Mar) alternates years between Vaduz and Balzers. The traditional Vaduzer Städtlelauf (Apr, Vaduz) running races, including ones for children. Fireworks light up the sky above Vaduz on the country’s national day (Aug 15).",li,"Liechtenstein, officially the Principality of Liechtenstein (German: Fürstentum Liechtenstein), is a German-speaking microstate in Alpine Central Europe. The principality is a semi-constitutional monarchy headed by the Prince of Liechtenstein.",https://en.wikipedia.org/wiki/Liechtenstein,http://cdn.countryflags.com/thumbs/liechtenstein/flag-square-250.png,https://www.lonelyplanet.com/liechtenstein,Swiss franc,Vaduz,423,Europe (Western Europe),UTC+01:00,German,230 V @ 50 Hz plug C / J
Monaco,"Most visitors come for the Grand Prix car race (May) and in summer (Jul–Aug). Other key events include the Rallye Monte-Carlo car race (Jan), Monte-Carlo Masters tennis tournament (Apr–May) and the Monte-Carlo International Fireworks Festival (Jul–Aug). Weather is generally mild year-round.
",mc,"Monaco is a sovereign city-state, country, and microstate on the French Riviera in Western Europe. France borders the country on three sides while the other side  borders the Mediterranean Sea. Monaco is about 15 km (9.3 mi) from the state border with Italy.Monaco has an area of 2.020 km2 (0.780 sq mi), making it the second-smallest country in the world after the Vatican. Its population as of 2018 is 38,682. With 19,009 inhabitants per square kilometre (49,230/sq mi), it is the most
densely-populated sovereign state in the world. Monaco has a land border of 5.47 km (3.40 mi), the world's shortest coastline of approximately 3.83 km (2.38 mi) (regardless of the coastline paradox), and a width that varies between 1,700 and 349 m (5,577 and 1,145 ft). The highest point in the country is a narrow pathway named Chemin des Révoires on the slopes of Mont Agel, in the Les Révoires Ward, which is 161 metres (528 feet) above sea level. Monaco's most populous Quartier is Monte Carlo
and the most populous Ward is Larvotto/Bas Moulins. Through land reclamation, Monaco's land mass has expanded by 20 percent; in 2005, it had an area of only 1.974 km2 (0.762 sq mi). Monaco is known to be the most expensive and the wealthiest place on Earth, Vatican City excluded, due to its tax laws. In 2014, it was noted that about 30% of the population was made up of millionaires.Monaco is a principality governed under a form of constitutional monarchy, with Prince Albert II as head of state.
Although Prince Albert II is a constitutional monarch, he wields immense political power. The House of Grimaldi has ruled Monaco, with brief interruptions, since 1297. The official language is French, but Monégasque, Italian, and English are widely spoken and understood. The state's sovereignty was officially recognised by the Franco-Monegasque Treaty of 1861, with Monaco becoming a full United Nations voting member in 1993. Despite Monaco's independence and separate foreign policy, its defence
is the responsibility of France. However, Monaco does maintain two small military units.",https://en.wikipedia.org/wiki/Monaco,http://cdn.countryflags.com/thumbs/monaco/flag-square-250.png,https://www.lonelyplanet.com/monaco,Euro,Monaco,377,Europe (Western Europe),UTC+01:00,French,230 V @ 50 Hz plug C / E / F
Estonia,"Estonia’s seasonal climate includes a warm summer (Jun–Aug), when most people visit the country. Õllesummer (Tallinn, Jul) is a huge music festival with hundreds of food stands. The Viljandi Folk Music Festival (Jul), held in the center of Estonia, features traditional music from across Europe. Cold, snowy weather predominates Nov–Mar. Christmas markets (Dec–Jan) are held in the historic centers of cities like Tallinn. The Tartu Ski Marathon (Feb) draws thousands to this long-distance cross-country ski race.
",ee,"Estonia, officially the Republic of Estonia (Estonian: Eesti Vabariik), is a country on the eastern coast of the Baltic Sea in Northern Europe. It is bordered to the north by the Gulf of Finland with Finland on the other side, to the west by the Baltic Sea with Sweden on the other side, to the south by Latvia (343 km), and to the east by Lake Peipus and Russia (338.6 km). The territory of Estonia consists of a mainland and 2,222 islands in the Baltic Sea, covering a total area of 45,227
km2 (17,462 sq mi), water 2,839 km2 (1,096 sq mi), land area 42,388 km2 (16,366 sq mi), and is influenced by a humid continental climate. The official language of the country, Estonian, is the second-most-spoken Finnic language.",https://en.wikipedia.org/wiki/Estonia,http://cdn.countryflags.com/thumbs/estonia/flag-square-250.png,https://www.lonelyplanet.com/estonia,Euro,Tallinn,372,Europe (Northern Europe),UTC+02:00,Estonian,230 V @ 50 Hz plug C / F
Slovenia,"Most visitors arrive in summer (Jun–Aug), though it’s warm and sunny in the south and along the Adriatic coast Apr–Sep. The mountainous north features a cool alpine climate, with the ski season typically running Dec–Mar. Major events include the Ljubljana Jazz Festival (Jul), which kicks off the Ljubljana Summer Festival (Jul–Aug). Bled Days and Nights (Jul) features folk music, arts and crafts fairs, and candles on Lake Bled.",si,"Slovenia, officially the Republic of Slovenia (Slovene: Republika Slovenija , abbr.: RS), is a country located in southern Central Europe at a crossroads of important European cultural and trade routes. It is bordered by Italy to the west, Austria to the north, Hungary to the northeast, Croatia to the southeast, and the Adriatic Sea to the southwest. It covers 20,273 square kilometers (7,827 sq mi) and has a population of 2.07 million. One of the successor states of the former
Yugoslavia, Slovenia is a parliamentary republic and a member of the United Nations, of the European Union, and of NATO. The capital and largest city is Ljubljana.Slovenia has a mostly mountainous terrain with a mainly continental climate, with the exception of the Slovene Littoral, which has a sub-Mediterranean climate, and of the northwest, which has an Alpine climate. Additionally, the Dinaric Alps and the Pannonian Plain meet on the territory of Slovenia. The country, marked by a significant
biological diversity, is one of the most water-rich in Europe, with a dense river network, a rich aquifer system, and significant karst underground watercourses. Over half of the territory is covered by forest. The human settlement of Slovenia is dispersed and uneven.Slovenia has historically been the crossroads of Slavic, Germanic, and Romance languages and cultures. Although the population is not homogeneous, Slovenes comprise the majority. The South Slavic language Slovene is the official
language throughout the country. Slovenia is a largely secularized country, but Catholicism and Lutheranism have significantly influenced its culture and identity. The economy of Slovenia is small, open and export-oriented and is thus strongly influenced by the conditions of its exporting partners' economies. It has been severely hurt by the Eurozone crisis which started in 2009. The main economic field is services, followed by industry and construction.Historically, the current territory of
Slovenia has formed part of many different states, including the Roman Empire, Byzantine Empire, Carolingian Empire, and the Holy Roman Empire, the Habsburg Monarchy, the Republic of Venice, the French-administered  Illyrian Provinces of the First French Empire of Napoleon I, the Austrian Empire and Austro-Hungarian Empire. In October 1918 the Slovenes exercised self-determination for the first time by co-founding the State of Slovenes, Croats and Serbs. In December 1918 they merged with the
Kingdom of Serbia into the Kingdom of Serbs, Croats and Slovenes (renamed the Kingdom of Yugoslavia in 1929).",https://en.wikipedia.org/wiki/Slovenia,http://cdn.countryflags.com/thumbs/slovenia/flag-square-250.png,https://www.lonelyplanet.com/slovenia,Euro,Ljubljana,386,Europe (Southern Europe),UTC+01:00,Slovene,230 V @ 50 Hz plug C / F
Lithuania,"Lithuania's peak travel season is Jun–Aug. Major events include the nationwide pre-Lenten festival of Užgavėnės (Feb), featuring an effigy representing winter, a staged battle and costumed revelers; the Sartai Lake horse race (Feb); St. Casimir’s Day (Vilnius, Mar), with crafts and food stalls; Klaipėda's Sea Festival (Jul) celebrated with concerts and a parade; the ENEOS 1000km car race (Palanga, Jul); and Druskininkai Poetic Fall (Oct), a literary festival.

",lt,"Lithuania, officially the Republic of Lithuania (Lithuanian: Lietuvos Respublika), is a country in the Baltic region of Europe. Lithuania is considered to be one of the Baltic states. It is situated along the southeastern shore of the Baltic Sea, to the east of Sweden and Denmark. It is bordered by Latvia to the north, Belarus to the east and south, Poland to the south, and Kaliningrad Oblast (a Russian exclave) to the southwest. Lithuania has an estimated population of 2.8 million
people as of 2019, and its capital and largest city is Vilnius. Other major cities are Kaunas and Klaipėda. Lithuanians are Baltic people. The official language, Lithuanian, is one of only two living languages in the Baltic branch of the Indo-European language family, the other being Latvian.",https://en.wikipedia.org/wiki/Lithuania,http://cdn.countryflags.com/thumbs/lithuania/flag-square-250.png,https://www.lonelyplanet.com/lithuania,Euro,Vilnius,370,Europe (Northern Europe),UTC+02:00,Lithuanian,230 V @ 50 Hz plug C / F
Albania,"Most visitors arrive in summer (Jul–Aug), particularly at the beaches. The Mediterranean climate varies by region, but is generally characterized by hot, dry summers and mild, wet winters. The Tirana International Film Festival (Nov/Dec) features international and Albanian work.
",al,"Albania, officially the Republic of Albania (Albanian: Republika e Shqipërisë, pronounced [ɾɛpuˈblika ɛ ʃcipəˈɾiːsə]), is a country in Southeast Europe on the Adriatic and Ionian Sea within the Mediterranean Sea. It shares land borders with Montenegro to the northwest, Kosovo to the northeast, North Macedonia to the east, Greece to the south and maritime borders with Greece, Montenegro and Italy to the west.",https://en.wikipedia.org/wiki/Albania,http://cdn.countryflags.com/thumbs/albania/flag-square-250.png,https://www.lonelyplanet.com/albania,Albanian lek,Tirana,355,Europe (Southern Europe),UTC+01:00,Albanian,230 V @ 50 Hz plug C / F
Moldova,"Peak travel to Moldova's cities, wineries and archaeological sites is Apr–Oct, the warmest part of the year. Winter (Dec–Feb) often sees freezing temperatures and snow. Cellars open their doors for special tours and tastings during the popular National Wine Day festival (first weekend in Oct).
",md,"Moldova, officially the Republic of Moldova (Romanian: Republica Moldova), is a landlocked country in Eastern Europe, bordered by Romania to the west and Ukraine to the north, east, and south. The capital city is Chișinău.",https://en.wikipedia.org/wiki/Moldova,http://cdn.countryflags.com/thumbs/moldova/flag-square-250.png,https://www.lonelyplanet.com/moldova,Moldovan leu,Chișinău,373,Europe (Eastern Europe),UTC+02:00,Romanian,230 V @ 50 Hz plug C / F
Croatia,"Croatia's peak season (Jul–Aug) is also its warmest. Its coast has a Mediterranean climate (warm summers and mild winters), while the interior's Continental climate causes hot summers and winter snow. Popular events include the Boat Show (Split, Apr); the Dance Week Festival (Zagreb, May–Jun); the indie-themed INmusic Festival (Zagreb, Jun); the longstanding Pula Film Festival (Jul); the Dubrovnik Summer Festival (Jul–Aug), with theatre, dance, and music shows; and the St. Martin's Day wine harvest (wine regions, Nov).
",hr,"Croatia, officially the Republic of Croatia (Croatian: Republika Hrvatska, listen ), is a country at the crossroads of Central and Southeast Europe, on the Adriatic Sea. It borders Slovenia to the northwest, Hungary to the northeast, Serbia to the east, Bosnia and Herzegovina, and Montenegro to the southeast, sharing a maritime border with Italy. Its capital, Zagreb, forms one of the country's primary subdivisions, along with twenty counties. Croatia has an area of 56,594 square
kilometres (21,851 square miles) and a population of 4.28 million, most of whom are Roman Catholics.",https://en.wikipedia.org/wiki/Croatia,http://cdn.countryflags.com/thumbs/croatia/flag-square-250.png,https://www.lonelyplanet.com/croatia,Croatian kuna,Zagreb,385,Europe (Southern Europe),UTC+01:00,Croatian,230 V @ 50 Hz plug C / F
Ireland,"Most visitors arrive in summer (Jul–Aug), when the weather is mild. Winters (Nov–Mar) are cold and wet. Local events include the Cathedral Quarter Arts Festival (May) and the Belfast International Arts Festival (Oct). The Dublin Fringe and Theatre festivals (Sep–Oct) feature contemporary art, theatre and music.
",ie,"Ireland is an island in the North Atlantic. It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel. Ireland is the second-largest island of the British Isles, the third-largest in Europe, and the twentieth-largest on Earth.Geopolitically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom. In 2011, the
population of Ireland was about 6.6 million, ranking it the second-most populous island in Europe after Great Britain. Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in Northern Ireland.The geography of Ireland comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland. Its lush vegetation is a product of its mild but changeable climate which is free of extremes in temperature. Much of Ireland was
woodland until the end of the Middle Ages. Today, woodland makes up about 10% of the island, compared with a European average of over 33%, and most of it is non-native conifer plantations. There are twenty-six extant land mammal species native to Ireland. The Irish climate is influenced by the Atlantic Ocean and thus very moderate, and winters are milder than expected for such a northerly area, although summers are cooler than those in continental Europe. Rainfall and cloud cover are
abundant.",https://en.wikipedia.org/wiki/Ireland,http://cdn.countryflags.com/thumbs/ireland/flag-square-250.png,https://www.lonelyplanet.com/ireland,Euro,Dublin,353,Europe (Northern Europe),UTC,"Irish, English",230 V @ 50 Hz plug G
